"make_id","name"
"3818","Hbc radiomatic"
"5464","HBX"
"5686","Hdk"
"5503","Head"
"395","Hehn"
"5201","Heila"
"142","Heinemann"
"5862","Heinkel"
"396","Heku"
"6012","Heli"
"143","Hendricks"
"5472","Heng Long"
"304","Henra"
"5108","Herchee"
"295","Hercules"
"5392","Hergo"
"6301","Herkules"
"5966","Hero"
"5219","Hero Majestic"
"330","Hesston"
"5749","Hetchins"
"306","Hiab"
"5556","Hidea"
"689","Hieble"
"5109","Highland"
"5690","HighPer"
"5460","Himoto"
"317","Hinomoto"
"359","Hinowa"
"5250","Hirobo"
"144","Hitachi"
"5163","HoBao"
"397","Hobby"
"6402","Hobie Cat"
"145","Hoffmann"
"146","Holder"
"6001","Holiday"
"398","Holiday Rambler"
"147","Homar"
"22","Honda"
"5166","Hong Nor"
"6034","Honolulu"
"5082","Horex"
"2026","Horizon"
"6102","HotRod"
"6392","Hot Sails Maui"
"148","Howard"
"5186","HPI"
"5018","HRD"
"3854","HRZ"
"5461","Hsp"
"3886","Hsun"
"6235","Hudora"
"149","Hüffermann"
"150","Humbaur"
"23","Hummer"
"5720","Hunter"
"329","Hurlimann"
"5227","Hurrax"
"294","Husaberg"
"293","Husqvarna"
"5334","Hydra Sports"
"151","Hydrema"
"621","Hymer"
"292","Hyosung"
"6260","Hyperion"
"152","Hyster"
"5557","Hytsu"
"153","Hyundai"
"6022","Icem"
"5293","Ideal"
"6563","Ifestos"
"5023","Ifor Williams"
"5021","IHC"
"5022","IHI"
"660","Ikarus"
"6081","Ikon"
"6330","ILGI"
"2070","Ilver"
"5820","Ima.la Rocca"
"6254","ImeG"
"5477","Imola"
"5699","Impala"
"2074","Imperial"
"5798","Imr"
"670","Imt"
"439","Indeco"
"5990","Indian"
"6586","Indigo Marine"
"646","Infiniti"
"440","Ingersol-Rand"
"25","Innocenti"
"5985","Interbike"
"3817","Intermercato"
"318","International"
"659","Intrall"
"353","Irion"
"661","Irisbus"
"5385","Irm"
"5750","Iron Horse"
"154","Iseki"
"6514","Islabikes"
"155","Isuzu"
"5679","Italcar"
"291","Italjet"
"6083","Italtrike"
"5309","Iteco"
"156","Iveco"
"158","Iveco-Fiat"
"157","Iveco Magirus"
"5639","Izelmak"
"5156","Jacare"
"5025","Jacobsen"
"28","Jaguar"
"5448","Jamara"
"5835","Jamis"
"5089","Jawa"
"2139","J-Boats"
"159","JCB"
"5189","Jeanneau"
"27","Jeep"
"5863","Jensen Healey"
"5410","JetMoto"
"6435","JetSurf"
"336","Jf"
"3823","Jialing"
"647","Jiangling"
"5065","Jianshe"
"5555","Jilong"
"5110","Jincheng"
"5140","Jinlun"
"3884","Jla"
"5141","Jmstar"
"160","John Deere"
"6118","JohnPol"
"2174","Johnson"
"622","Joint"
"5153","Joker"
"5486","Jonsered"
"3893","Jonway"
"5748","Jopo"
"6212","Jouet"
"3838","Joyner"
"6375","JP Australia"
"5452","JQ-Products"
"5696","Jumpertrek"
"5024","JUNG Fahrzeugbau"
"162","Jungheinrich"
"161","Jung Homburg"
"5508","K2"
"3855","Kabe"
"5543","Kaercher"
"5026","Kaeser"
"6095","Kahoona"
"3901","Kaisar"
"5033","Kälble"
"5752","Kalkhoff"
"354","Kalmar"
"6416","Kanakas"
"6460","KaRace"
"3824","Karcher"
"2204","Karel"
"5500","Kariotakis"
"399","Karmann"
"2205","Karnic"
"6394","Ka Sail"
"5111","Kasea"
"163","Kässbohrer"
"5402","Kato"
"290","Kawasaki"
"5388","Kazuma"
"5646","Kcp"
"602","Keeway"
"6336","Keith"
"6341","Kellys"
"164","Kempf"
"5027","Kenworth"
"6343","Kesenci"
"5753","Kettler"
"5545","Kfr"
"5815","Khe"
"6062","Khs"
"165","Kia"
"5028","King Long"
"5343","Kingway"
"5344","Kingwell"
"5112","Kinroad"
"677","Kioti"
"3856","Kip"
"678","Kirovets"
"6000","Kitty"
"5066","KL"
"5029","Klagie"
"5754","Klein"
"5490","Kleine"
"5631","Kmc"
"5030","Knapen"
"400","Knaus"
"166","Kobelco"
"305","Koch"
"669","Kockums"
"6498","Kodiak"
"5755","Koga Miyata"
"167","Kögel"
"168","Komatsu"
"429","Komko"
"5594","Kona"
"6279","Königsegg"
"3911","Konstantinidis"
"5258","Kosmic"
"169","Kotschenreuther"
"5589","Koutsikos"
"6215","Koutsouras"
"2264","Kraaijer"
"170","Kramer"
"289","Kreidler"
"171","Kroeger"
"172","Krone"
"5976","Kronos"
"6093","Kross"
"5031","Krukenmeier"
"5633","Krukowiak"
"5032","Krupp"
"6303","KSR"
"288","KTM"
"6348","Kuberg"
"173","Kubota"
"321","Kuhn"
"6304","Kumpan"
"5756","Kuota"
"6097","KutlayMarine"
"341","Kverneland"
"5377","Kxd"
"3894","Kyb"
"287","Kymco"
"5165","Kyosho"
"5437","LA"
"30","Lada"
"441","Ladog"
"175","Lafaro"
"6023","Lafis"
"174","Lag"
"6203","Lagomatis"
"6404","Lagoon"
"402","Laika"
"5242","Lama"
"663","Lamberet"
"176","Lamborghini"
"5113","Lambretta"
"5927","Lambro Boat"
"5595","Lamusa"
"5558","Lancer"
"5542","LancerBoss"
"32","Lancia"
"177","Landini"
"33","Land Rover"
"178","Landsberg"
"3828","Landwind"
"5520","Lange"
"179","Langendorf"
"6361","LaNoria"
"180","Lansing"
"181","Lanz"
"5350","Lapierre"
"2289","Larson"
"2291","Laser"
"6247","Laski"
"401","La Strada"
"286","Laverda"
"5446","LawnBoss"
"5700","Leader"
"5073","Lechitrail"
"5817","Lee Cougan"
"5757","Legnano"
"182","Lely"
"5225","Lem"
"183","Lemken"
"5924","Leopard"
"5538","Lery Somer"
"6035","Lespo"
"6581","Le Tour de France"
"34","Lexus"
"184","Ley"
"6320","Leyland"
"2321","Liberty"
"428","Libra"
"185","Liebherr"
"3872","Lifan"
"186","Ligier"
"5632","Lilliston"
"36","Lincoln"
"187","Linde"
"5114","Lingben"
"3873","Linhai"
"5369","Lintex"
"6253","Lipa"
"5438","LiPo"
"6346","Lissmac"
"3905","Liu Gong"
"403","Lmc"
"5115","LML"
"6353","Lobster"
"6024","Loc"
"6395","Loft"
"3910","Logo"
"435","Lokomo"
"2351","Lomac"
"5541","Lombardini"
"5831","Lombardo"
"3890","Loncin"
"6441","Lorch"
"666","Lord"
"5171","Losi"
"37","Lotus"
"5459","Louisiane"
"5187","LRP"
"5349","LS"
"5034","Lück"
"5317","Luhrs"
"6305","Luxxon"
"5678","Lvtong"
"5116","Lynx"
"405","Ma-Bu"
"2379","Macgregor"
"5036","Mack"
"6521","Madara Agro"
"5191","Maestrale"
"188","Magirus Deutz"
"5960","Magnum"
"5224","Magnus"
"5037","Magyar"
"38","Mahindra"
"285","Maico"
"2394","Maiora"
"5784","Majesty"
"5497","MAK"
"5335","Mako"
"284","Malaguti"
"5445","Maletti"
"6400","Malibu"
"74","MAN"
"190","Manitou"
"6335","Mara"
"5255","Maranello"
"2419","Marco"
"2423","Mariah"
"5969","Marin Bikes"
"5574","Marinco"
"5359","Marine Diesel"
"6116","Marinello"
"2427","Mariner"
"3820","Marini"
"2428","Marino"
"5493","Marivag"
"6358","Markant"
"2431","Marlin"
"5067","Maro"
"5419","Marshall"
"5404","Marvel"
"5117","Masai"
"5640","Mascar"
"191","Maschio"
"39","Maserati"
"6306","Mash"
"5706","Masi"
"2442","Master"
"5323","Mastercraft"
"6217","Matermacc"
"5407","Matrix"
"2445","Mauric"
"5234","Maverick"
"5838","Maxim"
"5450","Maxpower"
"2454","Maxum"
"648","Maybach"
"192","Mazda"
"333","Mazzotti"
"5259","MBA"
"283","MBK"
"5426","MBM"
"193","McCormick"
"5173","MCD Racing"
"5823","McKenzie"
"6273","McLaren"
"406","Mc Louis"
"5118","MDL"
"2465","Mecgregor"
"6103","Megamo"
"6307","Megelli"
"194","Meiller"
"5038","Menci"
"195","Mengele"
"196","Mercedes-Benz"
"5718","Mercier"
"2475","Mercruiser"
"2476","Mercury"
"5266","Merida"
"5039","Merker"
"5759","Merlin"
"438","Merlo"
"5411","Metropolis"
"6408","Metso"
"5035","MF"
"42","Mg"
"197","Michigan"
"6274","Microcar"
"5723","Mifa"
"5849","Miheng"
"5328","Mikilon"
"407","Miller"
"43","Mini"
"5214","Minsk"
"3897","Mio"
"408","Mirage"
"6376","Mistral"
"198","Mitsubishi"
"6513","Miyata "
"5375","MKG"
"404","M+M Mobile"
"409","Mobilvetta"
"5812","Mobster"
"2516","Mocchi-Craft"
"2517","Mochi"
"313","Modenas"
"6079","Momodesign"
"623","Monaco"
"624","Moncayo"
"5836","Mondraker"
"5271","Mongoose"
"5119","Monnier-Honda"
"5495","Monosem"
"6054","Montabert"
"5583","Montague"
"5291","Montana"
"2533","Monteray"
"5324","Monterey"
"302","Montesa"
"6088","Monty"
"5717","Montz"
"3880","Monza"
"2544","Moonraker"
"5367","Moretti"
"45","Morgan"
"5188","Morini"
"5040","Morooka"
"5042","Möslein"
"2553","Mostro"
"3883","Motivas"
"5659","Motobecane"
"6308","Motobi"
"282","Moto Guzzi"
"5120","Motom"
"5396","Motomarine"
"6309","Moto Morini"
"5121","Motortek"
"6310","Motowell"
"6259","Moulas"
"5511","Movement"
"5041","Moxy"
"5496","Mpasdekis"
"5670","Mtg"
"5854","Muddyfox"
"199","Müller-Mitteltal"
"200","Multicar"
"3836","Multicat"
"6318","Multione"
"6518","Muratori"
"319","Murray"
"5473","Mustang"
"281","Mv Agusta"
"6239","Mystic"
"280","MZ"
"5159","Nadir"
"6058","Naish"
"6439","Nakamura"
"6432","Nakayama"
"6464","Nakxus"
"5839","Nanoo"
"2607","Nautica"
"5093","Nautica Cab Dorado"
"5368","Navigator"
"6246","Negri"
"201","Neoplan"
"5044","Neptun"
"5397","Neptune"
"5068","Neptun & Stema"
"3865","Neumeier"
"202","Neuson"
"3913","New Force Motor"
"203","New Holland"
"656","NFP-Eurotrailer"
"204","Niemeyer"
"625","Niesmann+Bischoff"
"5045","Niewiadów"
"5567","Nikitas"
"5313","Nimbus"
"5462","Ninco"
"5463","NincoAir"
"3903","Nipponia"
"5484","Nireus"
"5761","Nishiki"
"205","Nissan"
"6420","Nitro Motors"
"6474","NobelArt"
"6252","Nolan-Feeder"
"6232","Nomik"
"5046","Nooteboom"
"6410","Nordberg"
"5517","Nordica"
"626","Nordstar"
"682","Normag"
"2674","North"
"2677","Northland"
"6433","North Sails"
"5154","Northstar"
"5085","Norton"
"5970","Noton"
"3889","Nova"
"2688","Novamarine"
"5714","Novara"
"5442","Novarossi"
"5840","Novomar"
"6495","Novurania"
"5043","NPK"
"6559","NS"
"649","Nsu"
"5852","Nuffield"
"5332","NuovaJolly"
"6086","Nyami"
"207","Obermaier"
"5360","Oceania Boats"
"2702","Oceanic"
"5389","Odess"
"6104","Odessy"
"5947","Ofna"
"5458","O'hara"
"206","O & K"
"5653","Olmia"
"5762","Olmo"
"5094","Olsen"
"5866","Olympia"
"2716","Olympic"
"5481","Omas"
"6013","Omg"
"6414","Omig"
"5151","Ondina"
"2721","One"
"6311","Online"
"6251","Ontar"
"6450","Onza"
"208","Opel"
"5986","Orange"
"3857","Orangecamp"
"5299","Orbea"
"5814","Orbis"
"6455","Orcal"
"5275","Orient"
"5390","Orizon"
"627","Ormocar"
"657","Orten"
"209","Orthaus"
"6065","Ortiflor"
"5416","Otokar"
"2743","Outboards"
"6089","Oyama"
"6241","Ozone"
"5937","Pacific"
"5047","Pacton"
"210","Palfinger"
"5489","Palmer and Johnson"
"6037","Pannonia"
"5366","Panther"
"5931","Papadopoulos"
"5590","Papageorgiou"
"5789","Paragon"
"5398","Parsun "
"5956","Pashley"
"5196","Pasquali"
"6119","Pathfinder"
"3858","Paul & Paula"
"443","Paus"
"5571","Pedrotti"
"604","Pegasus"
"212","Pel-Job"
"5980","Pellenc"
"5384","Pemberton"
"5925","Performance"
"3826","Perkins"
"5206","Perlini"
"5434","Pershing"
"5048","Peterbilt"
"5549","Petkus"
"213","Peugeot"
"5049","Pezzaioli"
"279","Pgo"
"5974","Phantom"
"5701","Phillips"
"628","Phoenix"
"278","Piaggio"
"410","Pilote"
"5050","Pimespo"
"5704","Pinarello"
